CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
410808787,02/06/2016,00:01:00,02/06/2016,04:00:00,02/06/2016,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,17.0,FRONT OF,STREET,nan,nan,993161.0,214643.0,40.755825694,-73.967837415,"(40.755825694, -73.967837415)"
583892963,12/22/2015,12:00:00,03/31/2016,11:00:00,03/31/2016,341,PETIT LARCENY,349.0,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50.0,nan,STREET,nan,nan,1006403.0,261278.0,40.883802311,-73.919886821,"(40.883802311, -73.919886821)"
502208436,01/02/2016,10:55:00,nan,nan,01/02/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,83.0,FRONT OF,STREET,nan,nan,1005244.0,193574.0,40.697975999,-73.92428986600001,"(40.697975999, -73.924289866)"
254871276,02/19/2016,00:01:00,02/19/2016,09:00:00,02/19/2016,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,84.0,FRONT OF,CHAIN STORE,nan,nan,989533.0,190232.0,40.688826305,-73.980951748,"(40.688826305, -73.980951748)"
660132549,01/12/2016,22:00:00,nan,nan,01/12/2016,117,DANGEROUS DRUGS,503.0,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43.0,FRONT OF,STREET,nan,nan,1017347.0,241610.0,40.82978532,-73.880405826,"(40.82978532, -73.880405826)"
453671151,01/26/2016,11:18:00,01/26/2016,11:20:00,01/26/2016,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,107.0,INSIDE,DEPARTMENT STORE,nan,nan,1043462.0,208934.0,40.739962201,-73.786327877,"(40.739962201, -73.786327877)"
284667444,01/06/2016,01:00:00,01/06/2016,06:00:00,01/06/2016,109,GRAND LARCENY,457.0,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75.0,FRONT OF,STREET,nan,nan,1020666.0,190532.0,40.689576398,-73.868689345,"(40.689576398, -73.868689345)"
844316438,11/10/2015,11:00:00,nan,nan,01/21/2016,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,985491.0,198486.0,40.711483099,-73.995525067,"(40.711483099, -73.995525067)"
840572694,03/13/2016,20:55:00,03/13/2016,21:00:00,03/13/2016,126,MISCELLANEOUS PENAL LAW,117.0,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52.0,nan,BUS STOP,nan,nan,1017978.0,262492.0,40.887097713,-73.87802064600001,"(40.887097713, -73.878020646)"
409618015,02/05/2016,05:15:00,02/05/2016,05:24:00,02/05/2016,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,120.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,959520.0,174849.0,40.646570434000004,-74.089117614,"(40.646570434, -74.089117614)"
